地区,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年
深圳,55441.01,48622,45498,33661,24040,23427,18995.92,21037.05,18954,14389
北京,37420.19,34117,28489,22300,18499,17854,16553.48,15517.9,17151,13224
上海,28981.11,24866,25910,21501,16415,16192,13869.88,13565.83,14290,12364
厦门,33715.43,28053,25251,18928,17778,14551,12953.38,13422.59,11590,8935
南京,19708.33,15259,17884,11260,10964,11078,9674.84,8414.62,9227,6893
广州,21581.78,17685,16346,14083,14739,13954,12000.88,10925.84,10615,8988
杭州,24360.2,21225,16211,14748,14035,14679,13291.65,12748.62,14259,10613
天津,15924.26,15139,12870,9931,8828,8390,8009.58,8547.64,7940,6605
宁波,16201.58,14145,11738,11022,10890,11405,11385.25,11285.64,11669,9068
福州,14381.26,10547,11058,11333,10105,10155,10644.52,9553.18,7877,6441
武汉,12678.48,11453,9819,8404,7399,7238,6895.35,6675.99,5550,5199
合肥,13068.63,11442,9312,7512,6917,6084,5754.31,5607.55,5502,4095
大连,11432.55,10019,9119,8711,8921,7859,7583.97,7928.98,6759,6175
青岛,12373.44,10052,8997,8437,7855,7987,7583.36,7166.19,6421,5383
海口,12644.47,11694,8868,7636,7473,7342,6512.03,6641.27,8069,5293
济南,12161.45,9712,8405,7527,7158,7013,6650.56,6663.89,6100,4790
郑州,8155.94,8323,8093,7223,6579,6587,5643.07,4692.29,4596,4057
南昌,8275.87,8106,7707,6955,6225,6639,5879.99,5322.66,4331,3637
成都,9783.16,8595,7377,6584,6536,6708,6678.46,6360.89,5827,4864
石家庄,10398.93,9738,7354,7798,5562,4943,4713.54,4352.15,3807,3688
太原,10840.49,8827,7348,7303,7155,6668,6404.74,6517.47,7088,4499
昆明,11085.48,8197,6851,7178,6067,5615,5404.9,4550.12,3405,3586
沈阳,8680.11,7944,6838,6416,5865,6074,5989.45,5612.96,5109,4196
南宁,7697.27,7700,6767,6229,6103,6155,5618.65,4995.89,4942,4463
西安,9984.54,8166,6385,6221,6105,6435,6224.03,5829.79,4341,3749
哈尔滨,8931.92,7861,6338,6124,5751,5884,5112.85,5216.66,5196,4146
兰州,7231.87,7137,6162,6089,5860,5520,5420.67,4229.09,4065,3499
长沙,7796.2,7287,6160,5544,5458,5759,5602.51,5481.49,4322,3533
长春,8091.85,6811,6018,6374,5847,5729,5273.35,5969.66,5097,4012
乌鲁木齐,7757.03,6188,5829,6142,5758,5858,5255.04,4969.78,4265,3285
贵阳,8842.96,6552,5392,4967,4904,4488,4472.69,4587.98,4233,3496
呼和浩特,8251.24,5662,5196,4946,5153,4631,4798.17,4073.32,3650,3248
重庆,8189.98,6605,5162,5012,5094,5239,4804.8,4492.3,4040,3266
西宁,6733.36,5890,5007,4602,4807,4380,4304.29,3438.6,3196,2811
银川,5589.49,4892,4448,4498,4111,4524,4187.26,3979.62,3610,3219
拉萨,,,,,,,,,,
