地区,人口密度
北京,838.3912249
天津,905.4327808
石家庄,619.3841494
太原,538.2483212
呼和浩特,142.7368788
沈阳,576.1430337
大连,449.6562665
长春,365.3245806
哈尔滨,179.1977401
上海,2306.59306
南京,1056.449901
杭州,466.4376958
宁波,614.2624287
合肥,662.2629969
福州,587.1156417
厦门,1427.486757
南昌,718.5625507
济南,640.2772355
青岛,724.862613
郑州,1160.220252
武汉,1040.416765
长沙,616.6849987
广州,1247.901533
深圳,2278.056112
南宁,348.5980463
海口,520.0878477
重庆,413.0530812
成都,1010.647039
贵阳,520.8488922
昆明,266.2273553
拉萨,18.78176028
西安,976.3256826
兰州,251.0355369
西宁,271.1204079
银川,203.7930671
乌鲁木齐,156.3449634
